test_split_index,true_label,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
40337,0,-1.14821088,0.82205302,1.80953896,0.77536005,-0.13638821,-0.12917522,0.38854271,-0.07061419,-0.74185795,0.70439547,-1.25610590,-1.12890518,-0.56026137,-0.35967830,-0.14827143,1.52622938,-0.88672346,-0.20078184,-1.22984815,-0.34375846,0.15830329,0.36442912,0.04438187,0.12409519,-0.61027151,2.20876503,-0.51617867,0.07126872,-0.23381700
3896,0,1.27079070,-0.64268911,0.63047439,-0.69287664,-1.24509418,-0.82350266,-0.62961453,-0.04123207,-0.96968353,0.76983255,1.61013365,-0.02795569,-0.40658414,0.14744490,0.12537831,1.38836312,0.07953539,-1.09075677,0.82089561,0.12381580,-0.01323659,-0.30702713,0.11767101,0.51138639,0.14433077,-0.51293081,-0.00360699,0.02059160,-0.16269514
21767,0,1.12383628,-0.09821521,0.68272817,0.77797544,-0.50914049,0.06758761,-0.31529287,0.17647918,0.36226350,-0.08475360,1.29246771,1.23729563,-0.35005578,0.07501573,-0.84856713,-0.51514977,0.20037238,-0.56695867,0.04193125,-0.15985861,0.00282436,0.24729216,-0.04511369,0.28163034,0.45060673,0.43848211,-0.00388959,-0.00094088,-0.32787248
31471,0,-0.88629180,0.10059490,0.28855088,-0.94359255,2.09430408,-1.15918279,1.35408401,-0.42388555,-0.13880837,-0.85845953,-1.28021550,-0.11058806,-0.31619611,0.15566467,-0.89854264,-0.64475632,-0.53973663,-0.43486771,-0.28963283,0.12131582,0.05691274,0.15325691,-0.28540865,0.59268624,0.66377938,-0.34853768,-0.14756897,-0.09964260,-0.23739669
30421,0,2.10138583,0.58025062,-2.68131924,0.60048455,0.90766901,-1.37884271,0.37036780,-0.37191465,0.53721642,-1.20246136,-0.45053306,-0.40033883,0.25874901,-2.60885620,1.10900629,0.98355538,1.48789251,1.49751520,-0.41597211,-0.11996750,0.04972436,0.35877883,-0.14228407,-0.92618036,0.36337343,-0.05649525,0.02010453,0.00053436,-0.35143554
31474,1,-6.15960693,1.46871293,-6.85088825,5.17470646,-2.98670387,-1.79505420,-6.54507160,2.62123609,-3.60587001,-8.12216091,6.02903271,-9.22585487,-1.54675865,-10.30933380,0.30806240,-7.78732634,-12.82217693,-4.36767721,2.64398432,-0.28982958,1.06131423,0.12573747,0.58959234,-0.56873059,0.58282471,-0.04258265,0.95113021,0.15899603,-0.35210428
17644,1,-0.44009522,1.13723898,-3.22707987,3.24229288,-2.03399825,-1.61841464,-3.02801251,0.76455480,-1.80193722,-4.71176863,4.66325474,-5.17173481,-1.62407029,-6.71387815,0.60798627,-3.27520752,-6.82383108,-1.35530865,0.29125074,0.89584082,0.76418674,-0.27557769,-0.34357151,0.23308483,0.60643363,-0.31543347,0.76829076,0.45962334,0.53876770
28247,1,0.33349949,1.69987345,-2.59656119,3.64394522,-0.58506763,-0.65465856,-2.27578855,0.67522895,-2.04241586,-2.83487105,2.80200505,-4.39273262,-1.36967146,-5.32728672,0.16315897,-1.35938942,-5.09518290,-0.33801267,-0.12413799,0.32934171,0.46921194,-0.14436266,-0.31798095,-0.76964432,0.80785459,0.22816430,0.55100185,0.30547342,-0.28078574
2822,1,-2.32692242,-3.34843874,-3.51340795,3.17505980,-2.81513715,-0.20336279,-0.89214444,0.33322570,-0.80200523,-4.35068512,3.06424594,-2.71873069,0.06878770,-5.58687305,-0.96607649,-2.50204945,-4.46049452,-0.87052572,0.59562910,3.20917106,1.22664845,-0.69590205,-1.47849023,-0.06155260,0.23615502,0.53191060,0.30232435,0.53637534,5.11078501
41284,1,-6.42330647,1.65851450,-5.86643934,2.05206442,-0.61581683,-3.37226582,-5.03655577,2.64310598,-2.27463007,-7.04922915,3.91680264,-4.48127937,-1.02747929,-7.11387300,-0.85277522,-3.83956003,-5.05600977,-1.34449756,1.14847291,-0.71351582,0.64121091,-0.25667837,-2.33723283,-0.15827790,1.19879746,-0.26125780,0.78012550,-0.73180079,-0.35536927
